provider_id,npi,first_name,last_name,provider_type,specialty_code,specialty_name,license_number,credential_status,credential_expiry_date,address_line1,city,state,zip,phone,last_updated_date
P00024,1000000024,Karen,Hudson,NP,ORTH,Orthopedics,LIC559381,INACTIVE,2027-11-19,0752 Lewis Union Suite 549,Angelahaven,GA,25543,236-378-3777,2025-07-24
P00025,1000000025,Kelly,Sullivan,MD,DERM,Dermatology,LIC454508,ACTIVE,2026-08-19,9578 Coleman Summit,Michaelmouth,FL,36010,643-313-5182x3374,2025-05-07
P00026,1000000026,Marissa,Phillips,MD,PED,Pediatrics,LIC340062,ACTIVE,2026-03-14,40824 Terri Plaza Suite 271,New Justinfort,CA,58234,620-347-1167x19022,2025-01-04
P00027,1000000027,Victoria,Wilson,DO,NEUR,Neurology,LIC392004,ACTIVE,2027-06-11,993 Hayes Mills Suite 964,New Susanville,FL,27736,+1-934-612-3281x2067,2025-02-06
P00028,1000000028,Antonio,Roberts,PA,FAMP,Family Practice,LIC354801,ACTIVE,2027-08-14,713 French Road Apt. 618,Lake Edward,AZ,35317,(310)924-9947,2025-10-20
P00029,1000000029,Haley,Lyons,PA,PED,Pediatrics,LIC471507,ACTIVE,2026-04-10,877 Carly Meadows Suite 940,East Suzanneshire,GA,77456,4498027874,2025-02-18
P00030,1000000030,Cynthia,Vasquez,MD,CARD,Cardiology,LIC163556,ACTIVE,2027-11-01,5655 Mia Isle,Steeleport,IL,87347,(980)871-5451x6808,2025-12-11
P00031,1000000031,Brian,Stone,DO,DERM,Dermatology,LIC662336,ACTIVE,2026-07-16,703 Dunn Heights Suite 710,Lake Eric,AZ,72700,9866131712,2025-05-08
P00032,1000000032,William,Hill,DO,FAMP,Family Practice,LIC179046,ACTIVE,2027-04-19,3782 Lee Rapid Apt. 146,Sarahhaven,TX,35519,9447997278,2025-05-23
P00033,1000000033,Martin,Hines,MD,CARD,Cardiology,LIC197793,INACTIVE,2027-07-08,5339 Hall Trail Suite 057,Hughesberg,FL,65424,9282951718,2025-11-30
P00034,1000000034,Jennifer,Ortiz,PA,FAMP,Family Practice,LIC324130,INACTIVE,2027-05-13,74596 Melissa Walk,Finleyfort,CA,71413,3919343161,2025-07-28
P00035,1000000035,Garrett,Evans,PA,FAMP,Family Practice,LIC378085,INACTIVE,2026-01-03,50455 Thomas Pines,Knightburgh,GA,22781,(519)969-3792,2025-07-14
P00036,1000000036,Dana,Stevens,PA,ORTH,Orthopedics,LIC262316,ACTIVE,2027-12-15,4821 Landry Radial,Daniellechester,FL,90981,674-636-7136x959,2025-08-05
P00037,1000000037,Andrew,Greer,MD,CARD,Cardiology,LIC884309,ACTIVE,2027-07-10,0909 Wall Heights Apt. 953,New John,CA,99536,001-821-404-7095x2145,2025-10-24
P00038,1000000038,James,Buchanan,DO,PSY,Psychiatry,LIC159642,PENDING,2027-06-28,842 Sloan Orchard Suite 517,East Karenbury,TX,89148,001-868-751-6048x1754,2025-09-15
P00039,1000000039,Daniel,Hall,MD,FAMP,Family Practice,LIC808011,INACTIVE,2027-09-02,859 Deborah Roads,Blankenshipport,AZ,85598,(712)800-4711x38267,2025-02-05
P00040,1000000040,Brenda,Barber,MD,DERM,Dermatology,LIC749468,ACTIVE,2026-09-10,179 Crosby Harbors Apt. 537,Sampsonstad,IL,13523,+1-258-750-6431x71390,2025-10-19
P00041,1000000041,John,Martinez,NP,ORTH,Orthopedics,LIC350280,ACTIVE,2027-11-17,83933 Schroeder Turnpike,West Micheleberg,NY,17539,+1-742-210-2053,2025-04-15
P00042,1000000042,Grant,Williams,MD,ORTH,Orthopedics,LIC109767,ACTIVE,2026-11-20,117 Strickland Passage Apt. 783,Lake Kristahaven,TX,40036,400.376.6177x115,2025-08-23
P00043,1000000043,David,Weber,NP,DERM,Dermatology,LIC238890,INACTIVE,2026-08-07,9847 Garcia Squares Apt. 836,Beasleychester,TX,44925,366.315.6545x271,2025-10-03
P00044,1000000044,Christopher,Davis,DO,PED,Pediatrics,LIC559469,INACTIVE,2026-10-19,80988 Santiago Loop Suite 604,Michaelshire,WA,67008,627.531.5851,2025-07-09
P00045,1000000045,Lindsay,Bruce,NP,CARD,Cardiology,LIC795613,ACTIVE,2027-07-22,402 Park Inlet,Michaelburgh,NY,19277,001-861-920-1836,2025-12-08
P00046,1000000046,Matthew,Wood,DO,ORTH,Orthopedics,LIC385577,ACTIVE,2026-04-20,910 Eric River Apt. 147,Tuckermouth,FL,54788,238-515-6149x784,2025-03-01
P00047,1000000047,Randall,Greene,NP,NEUR,Neurology,LIC629959,ACTIVE,2027-12-05,43244 Wilson Parks,Thompsonfurt,CA,70307,001-738-885-1606x071,2025-04-15
P00048,1000000048,Ashley,Mckinney,NP,DERM,Dermatology,LIC146228,ACTIVE,2027-03-10,1605 Laurie River Suite 516,East Ryanfurt,NY,69177,364-553-5218,2025-11-21
P00049,1000000049,Rebecca,Bailey,PA,ORTH,Orthopedics,LIC688153,ACTIVE,2027-03-29,12432 Kathleen Shoal,East Stephaniefort,TX,61312,001-699-279-9552x71774,2025-03-24
P00050,1000000050,Michael,Jones,NP,FAMP,Family Practice,LIC710805,ACTIVE,2026-02-06,0054 Deanna Walk Apt. 998,Fordside,AZ,97352,2799359782,2025-10-07
P00051,1000000051,Dale,Nolan,NP,FAMP,Family Practice,LIC934794,PENDING,2026-11-12,182 John Mill Suite 889,West Nathan,CA,37580,(465)790-5151x8644,2025-01-22
P00052,1000000052,Christopher,Alvarado,DO,NEUR,Neurology,LIC799330,ACTIVE,2027-11-30,6291 Hansen Row Suite 281,Romerotown,AZ,48027,223-757-3322x1418,2025-04-18
P00053,1000000053,Nancy,Williamson,DO,FAMP,Family Practice,LIC532322,ACTIVE,2026-06-16,22927 Robert Springs Apt. 794,Youngbury,IL,41063,435.697.7468x8623,2025-05-02
P00054,1000000054,Brett,Castillo,NP,ONC,Oncology,LIC266931,ACTIVE,2026-09-12,181 Miller Estates Suite 782,Davisbury,TX,59631,(206)706-8536x153,2025-12-09
P00055,1000000055,Sarah,Combs,DO,ONC,Oncology,LIC309267,INACTIVE,2027-04-27,20472 West Avenue Apt. 043,New Shelby,GA,80308,961.243.4103x69711,2025-01-20
P00056,1000000056,Crystal,Andrews,DO,NEUR,Neurology,LIC124813,ACTIVE,2026-08-22,6095 Ashley Ferry,New Theresaland,AZ,69452,+1-788-680-6706,2025-06-06
P00057,1000000057,Julie,Kelly,NP,NEUR,Neurology,LIC468203,ACTIVE,2026-03-13,3195 Bradley Plains,Lisaburgh,AZ,90243,772.621.7043x030,2025-05-23
P00058,1000000058,Zachary,Hays,NP,NEUR,Neurology,LIC287241,ACTIVE,2026-04-29,0345 Michelle Isle Suite 156,Paulfurt,WA,44939,(877)458-4161,2025-01-15
P00059,1000000059,Amy,Morris,PA,CARD,Cardiology,LIC462479,ACTIVE,2027-09-03,4479 Jackson Mills,Sergiostad,IL,81090,(340)516-5820x29702,2025-02-25
P00060,1000000060,Kimberly,Diaz,MD,ONC,Oncology,LIC503906,INACTIVE,2027-06-08,092 Rush Landing Suite 192,Raymondview,FL,33218,602-978-6814,2025-11-07
P00061,1000000061,Jason,Carr,PA,ORTH,Orthopedics,LIC101773,ACTIVE,2027-12-27,12172 Osborn Valleys Suite 518,Patriciaburgh,FL,93799,001-725-983-1323x705,2025-01-23
P00062,1000000062,Linda,Arnold,NP,NEUR,Neurology,LIC753425,ACTIVE,2026-03-13,46786 Morrow Cliffs,West Dawn,TX,59480,485.628.9226x801,2025-08-09
P00063,1000000063,Fred,Morris,PA,ORTH,Orthopedics,LIC442027,ACTIVE,2026-11-13,8414 Cynthia Plaza,Davidport,WA,81035,+1-718-229-9229,2025-09-17
P00064,1000000064,Marcia,Johnson,PA,FAMP,Family Practice,LIC810219,ACTIVE,2027-03-07,943 Montgomery Burgs,Smallside,NY,38468,+1-947-536-4710x2767,2025-04-09
P00065,1000000065,Matthew,Thomas,MD,ORTH,Orthopedics,LIC418635,ACTIVE,2027-07-16,562 Robertson Coves Suite 371,Shannonberg,AZ,13190,7465963259,2025-07-27
P00066,1000000066,Kathryn,Jimenez,PA,NEUR,Neurology,LIC808446,ACTIVE,2027-03-29,4701 Wagner Garden Apt. 950,West Troyfort,GA,37954,+1-201-862-4565,2025-08-27
P00067,1000000067,Brett,Hoffman,NP,FAMP,Family Practice,LIC640490,ACTIVE,2026-03-28,416 Duran Harbors Apt. 216,Lauramouth,IL,73617,(923)998-6800x025,2025-12-04
P00068,1000000068,Eduardo,Barry,NP,DERM,Dermatology,LIC335552,INACTIVE,2027-11-20,9526 Wheeler Parkways,Ericksonport,NY,62746,9556169409,2025-05-01
P00069,1000000069,Tammy,Patton,PA,CARD,Cardiology,LIC740967,INACTIVE,2026-09-08,097 Alexandria Stravenue,Hernandezbury,TX,04639,001-513-807-5626,2025-01-24
P00070,1000000070,Warren,Carr,DO,PSY,Psychiatry,LIC853240,ACTIVE,2027-10-07,028 Ann Shore Suite 865,South Rhonda,GA,45370,+1-654-597-3348,2025-08-01
P00071,1000000071,Shelly,Hendrix,MD,ONC,Oncology,LIC887443,INACTIVE,2026-06-01,375 Bailey Underpass Suite 419,Huangfurt,TX,45738,001-624-404-1574x73384,2025-05-05
P00072,1000000072,Daniel,Yang,PA,ONC,Oncology,LIC152657,ACTIVE,2026-06-30,08330 Robert Stravenue,Garciaberg,TX,01180,+1-226-377-3454,2025-04-23
P00073,1000000073,Denise,Hall,NP,PSY,Psychiatry,LIC891937,INACTIVE,2027-04-21,62067 Sharon Well,Nancytown,AZ,39611,001-491-954-7887,2025-03-10
P00074,1000000074,Joshua,Lamb,PA,PSY,Psychiatry,LIC371782,ACTIVE,2027-05-02,74205 Bradley Throughway Apt. 296,Robertsonland,WA,53039,+1-612-227-5304x63745,2025-03-23
P00075,1000000075,Jose,Ward,NP,PSY,Psychiatry,LIC561239,ACTIVE,2026-09-02,17426 Vaughn Route,Michaelbury,WA,29222,(572)579-5687,2025-11-17
P00076,1000000076,Erin,Larson,NP,PED,Pediatrics,LIC666390,ACTIVE,2026-12-10,785 Samantha Creek,Port Amyhaven,NY,26998,001-982-325-8713,2025-05-20
P00077,1000000077,Rachel,Griffin,DO,PED,Pediatrics,LIC840734,ACTIVE,2027-12-12,2867 Angelica Spring,Jenniferfurt,AZ,33853,2393106518,2025-07-16
P00078,1000000078,Valerie,Kennedy,PA,ONC,Oncology,LIC535970,ACTIVE,2027-07-10,2265 West Lane Suite 182,Davidside,AZ,52019,723.400.4786x86337,2025-06-19
P00079,1000000079,Joshua,Pineda,MD,ONC,Oncology,LIC998348,INACTIVE,2027-12-14,69033 Craig Bypass,Harperton,AZ,32578,001-706-773-8302x8439,2025-10-27
P00080,1000000080,Joel,Walter,NP,PSY,Psychiatry,LIC890075,ACTIVE,2026-12-27,4408 Connie Meadow,Williamsstad,AZ,84821,+1-668-456-6246x28733,2025-01-04
P00081,1000000081,Linda,Melendez,NP,PED,Pediatrics,LIC557007,ACTIVE,2026-08-13,8826 Jonathan Isle Apt. 751,North Joseph,AZ,88800,+1-290-513-9837x354,2025-09-07
P00082,1000000082,Sharon,Hayden,PA,NEUR,Neurology,LIC859359,ACTIVE,2027-11-27,739 Randy Garden,Kimberlyfurt,GA,61613,+1-954-745-8771,2025-12-09
P00083,1000000083,Robin,Wood,MD,FAMP,Family Practice,LIC513160,ACTIVE,2027-07-01,93204 Phillips Flat Suite 369,South Andrea,CA,90265,247-377-2522x87280,2025-11-15
P00084,1000000084,Sierra,Barnett,DO,DERM,Dermatology,LIC584125,ACTIVE,2027-03-15,2312 Jeffery Motorway,Brucefort,WA,86914,800.488.6008x4840,2025-11-26
P00085,1000000085,Daniel,Davis,PA,ONC,Oncology,LIC442722,ACTIVE,2026-08-05,39845 Norton Common,Susanmouth,AZ,74556,934.210.1666,2025-06-17
P00086,1000000086,Dana,Warner,MD,ORTH,Orthopedics,LIC593152,ACTIVE,2026-09-16,6591 Jerry Ways,Nelsonland,CA,90210,689-402-5039x261,2025-08-04
P00087,1000000087,Anne,Knight,MD,NEUR,Neurology,LIC919182,PENDING,2027-10-28,856 Krystal Spurs Apt. 850,South Jesseland,CA,45143,+1-899-865-0477x358,2025-04-25
P00088,1000000088,Jacob,Willis,MD,CARD,Cardiology,LIC751517,ACTIVE,2026-07-24,94311 Moore Station Apt. 655,North Adamport,NY,58793,(341)221-2678x886,2025-05-07
P00089,1000000089,Christopher,Spencer,DO,PSY,Psychiatry,LIC587623,ACTIVE,2026-04-28,0466 Jenny Points Apt. 982,Jacksonview,IL,39970,672-512-6464x715,2025-12-09
P00090,1000000090,Jennifer,Simpson,MD,FAMP,Family Practice,LIC915573,INACTIVE,2027-09-14,1240 Cook River,Brockmouth,WA,58201,969-524-5937x52654,2025-11-07
P00091,1000000091,Mark,Ramirez,NP,DERM,Dermatology,LIC703766,ACTIVE,2026-01-27,1939 Erin Plaza Apt. 737,Marieland,AZ,54128,+1-872-843-4266x17979,2025-10-24
P00092,1000000092,Amy,Gibbs,DO,ONC,Oncology,LIC206851,ACTIVE,2026-03-19,891 Kayla Shoals Suite 290,Rasmussenmouth,WA,56921,501-943-8889,2025-04-12
P00093,1000000093,Neil,Ford,NP,DERM,Dermatology,LIC658623,ACTIVE,2026-02-12,0714 Knapp Corner,Port Sheliaberg,IL,46157,657-238-7571x7751,2025-10-17
P00094,1000000094,Lisa,Wilson,NP,DERM,Dermatology,LIC113266,INACTIVE,2027-10-26,123 Andrea Isle Suite 736,East Danielle,GA,57141,(309)437-9660x3341,2025-09-17
P00095,1000000095,Michael,Gonzalez,PA,DERM,Dermatology,LIC841666,ACTIVE,2027-01-06,7859 Carr Radial,West Michaelmouth,NY,81419,(649)391-2513,2025-08-10
P00096,1000000096,Isaac,Steele,PA,ORTH,Orthopedics,LIC587455,ACTIVE,2027-07-06,9296 Lopez Roads Apt. 827,Donaldmouth,WA,59614,+1-905-807-2368x876,2025-11-12
P00097,1000000097,Jennifer,Wallace,NP,NEUR,Neurology,LIC572700,ACTIVE,2026-03-30,90340 Walker Heights,Port Stephen,GA,97824,001-578-881-9148x58078,2025-05-06
P00098,1000000098,Curtis,Greer,PA,ONC,Oncology,LIC992288,ACTIVE,2026-01-30,0745 Scott Crest,East Lisa,GA,77561,001-659-462-9233x095,2025-06-22
P00099,1000000099,Mario,Padilla,NP,PED,Pediatrics,LIC393243,INACTIVE,2026-09-22,481 Sydney Turnpike Suite 042,East Dustin,WA,42718,367.329.4667,2025-07-01
P00100,1000000100,Richard,Brady,MD,CARD,Cardiology,LIC353080,ACTIVE,2026-07-15,7590 Jessica Mount Suite 186,South Mallory,GA,65344,354-958-9297x500,2025-09-22
P00101,1000000101,Allen,Noble,PA,PED,Pediatrics,LIC569945,ACTIVE,2027-05-03,7063 Nicole Hollow,Port Sarah,TX,36417,554-815-2064,2025-12-20
P00102,1000000102,Diana,Padilla,DO,ORTH,Orthopedics,LIC421080,ACTIVE,2027-02-19,71293 Smith Square,Lisachester,IL,91469,(771)636-1115,2025-04-24
P00103,1000000103,Derrick,Ayala,NP,PSY,Psychiatry,LIC546173,PENDING,2027-06-28,218 Chelsey Expressway,Bellborough,IL,82824,001-826-797-3112x1965,2025-10-11
P00104,1000000104,Kylie,Wright,NP,NEUR,Neurology,LIC421517,ACTIVE,2027-04-10,89994 Melanie Shoals,Jamiehaven,TX,25227,001-264-703-7613x7918,2025-12-26
P00105,1000000105,Sarah,Anderson,DO,PED,Pediatrics,LIC300845,ACTIVE,2026-05-03,8271 Brenda Bridge Suite 300,Hunterhaven,GA,54952,(761)888-9241x41832,2025-06-11
P00106,1000000106,Brenda,Hines,NP,ORTH,Orthopedics,LIC205409,INACTIVE,2027-06-22,6303 Sandy Crescent,Salazarton,WA,41040,+1-421-602-0275x88425,2025-10-29
P00107,1000000107,Jessica,Wilson,NP,PED,Pediatrics,LIC114835,ACTIVE,2026-07-03,6481 Joseph Ports,South Spencerstad,NY,07767,292.552.4191x3800,2025-07-04
P00108,1000000108,Brandon,Cox,NP,ORTH,Orthopedics,LIC831295,INACTIVE,2026-02-25,08635 Robert Stravenue,Josephland,GA,75413,(618)702-3806x174,2025-01-24
P00109,1000000109,Christopher,Bryant,NP,DERM,Dermatology,LIC592198,ACTIVE,2027-08-11,49493 Richardson Park Apt. 832,South Andrewside,IL,45907,+1-405-606-4138x3670,2025-01-07
P00110,1000000110,Christopher,Morse,PA,FAMP,Family Practice,LIC219629,INACTIVE,2026-09-16,571 William Route Suite 199,South Elaineberg,AZ,31535,345-465-5743x1329,2025-01-27
P00111,1000000111,Daniel,Cole,MD,PSY,Psychiatry,LIC259097,ACTIVE,2027-08-14,1853 Parker Greens Apt. 124,East Marymouth,WA,19942,235-868-0442,2025-02-07
P00112,1000000112,Melissa,Hawkins,PA,DERM,Dermatology,LIC735770,ACTIVE,2026-05-02,71210 Maria Forges,East Madison,FL,49291,+1-219-994-1013x72151,2025-05-08
P00113,1000000113,Brent,Glass,NP,ONC,Oncology,LIC717113,PENDING,2027-03-30,670 Vega Extensions Suite 324,Seanberg,WA,05042,+1-899-434-7687x014,2025-08-19
P00114,1000000114,Robert,Day,DO,CARD,Cardiology,LIC755900,ACTIVE,2026-04-12,806 Castillo Tunnel,Coopershire,TX,66350,564-420-5930x40785,2025-11-09
P00115,1000000115,Craig,Sandoval,MD,FAMP,Family Practice,LIC264136,ACTIVE,2026-06-27,039 Kelly Villages Apt. 239,Lindastad,GA,78038,6594929378,2025-05-03
P00116,1000000116,Tracy,Davis,DO,PSY,Psychiatry,LIC402099,ACTIVE,2026-02-03,308 Smith Ridges,Port David,GA,94471,(750)302-9218,2025-05-30
P00117,1000000117,Nathaniel,Mcmahon,NP,DERM,Dermatology,LIC926097,ACTIVE,2026-08-28,154 Taylor Estate Suite 752,Jeffreyshire,FL,23484,(544)322-0969x0295,2025-12-18
P00118,1000000118,Sharon,Taylor,DO,ONC,Oncology,LIC779094,ACTIVE,2027-07-12,55215 Smith Fords,Lake Carlos,WA,34141,800-767-6267,2025-02-28
P00119,1000000119,Amy,Garcia,DO,FAMP,Family Practice,LIC931131,ACTIVE,2026-03-03,327 Lauren Bypass Suite 054,North Matthewfurt,WA,21591,001-418-215-9970x6296,2025-02-06
P00120,1000000120,Craig,Harris,NP,PSY,Psychiatry,LIC833723,ACTIVE,2027-04-25,8844 Young Causeway,Armstrongfort,WA,20632,3502614973,2025-03-05
P00121,1000000121,Jamie,Little,MD,PSY,Psychiatry,LIC553014,ACTIVE,2026-03-24,1467 Jacobson Greens,Lake Amyburgh,WA,49131,(452)370-4774x3490,2025-08-13
P00122,1000000122,Christopher,Cooper,MD,CARD,Cardiology,LIC901909,ACTIVE,2026-08-23,380 Cardenas Manor Suite 937,Christianton,WA,66312,001-589-592-1722,2025-02-16
P00123,1000000123,David,Henderson,PA,CARD,Cardiology,LIC391668,ACTIVE,2027-04-27,29451 Paul Locks Suite 487,Port Isabellashire,AZ,68994,(716)822-9991x19148,2025-03-31
P00124,1000000124,Joseph,Pena,NP,PSY,Psychiatry,LIC528184,ACTIVE,2027-04-27,24629 Williams Isle Apt. 074,Andrewport,TX,41257,571-932-4754x691,2025-02-16
P00125,1000000125,Jason,Holloway,PA,FAMP,Family Practice,LIC402218,ACTIVE,2027-02-26,508 Cameron Station Suite 289,East Jamesborough,AZ,08054,807.305.3457,2025-06-18
P00126,1000000126,Erin,Allen,NP,CARD,Cardiology,LIC364659,ACTIVE,2026-04-01,727 Cooper Villages Suite 140,Williamsshire,AZ,28592,433.446.8007,2025-08-21
P00127,1000000127,Carolyn,Smith,PA,CARD,Cardiology,LIC533321,ACTIVE,2027-07-10,446 York Mount Suite 374,Silvatown,IL,67546,+1-658-699-4417x15454,2025-12-03
P00128,1000000128,Jacob,Holmes,MD,PSY,Psychiatry,LIC313446,ACTIVE,2027-03-29,96520 Bright Green,Sullivanton,NY,76919,001-493-653-8758x428,2025-11-17
P00129,1000000129,Connor,Anderson,PA,ORTH,Orthopedics,LIC227324,ACTIVE,2027-12-17,825 Jeffrey Fork Suite 655,Brendamouth,FL,15938,809.299.1738x1684,2025-08-13
P00130,1000000130,Monica,Hernandez,MD,FAMP,Family Practice,LIC679077,ACTIVE,2027-07-19,6972 Huffman Falls,South Marvinburgh,FL,41580,+1-800-874-3292x7129,2025-06-09
P00131,1000000131,Richard,Sanford,DO,DERM,Dermatology,LIC622584,INACTIVE,2026-05-01,08350 Sherman Pines Apt. 003,Lake Natalie,WA,41407,(616)689-4210,2025-08-25
P00132,1000000132,Stephen,Meyer,PA,ORTH,Orthopedics,LIC355570,ACTIVE,2027-05-10,2575 Frederick Valleys Suite 033,East Jessica,NY,77793,221.350.6489x09010,2025-08-01
P00133,1000000133,Robert,James,DO,ONC,Oncology,LIC173201,ACTIVE,2027-09-06,2304 Stanley Shore Suite 992,Rivasville,AZ,67555,001-791-841-1739x3483,2025-04-08
P00134,1000000134,Kenneth,Williams,MD,NEUR,Neurology,LIC396578,ACTIVE,2026-10-01,75300 Rebecca Village Suite 218,Lake Jenniferview,GA,84955,674.747.0120,2025-09-17
P00135,1000000135,Laurie,Edwards,PA,FAMP,Family Practice,LIC461888,ACTIVE,2027-07-06,00225 Kline Road,Natalieland,AZ,49341,421-366-7467x62120,2025-08-17
P00136,1000000136,Robert,Garza,DO,PSY,Psychiatry,LIC699573,ACTIVE,2026-07-13,96590 Timothy Oval Apt. 670,West Dianatown,AZ,92850,+1-889-493-5889x16375,2025-06-14
P00137,1000000137,Mary,Grant,PA,CARD,Cardiology,LIC504832,PENDING,2027-04-30,28772 Karen Islands,West Tara,NY,07100,738.366.3177x97177,2025-06-12
P00138,1000000138,Tina,Mcgee,NP,PSY,Psychiatry,LIC205239,INACTIVE,2026-05-10,66088 Margaret Turnpike,Pamelaside,GA,27613,+1-975-350-3758x9975,2025-01-19
P00139,1000000139,Connor,Hopkins,MD,DERM,Dermatology,LIC857537,ACTIVE,2027-04-13,5488 Park Cape,South Donald,NY,94460,001-361-849-3316x3735,2025-09-27
P00140,1000000140,Brandon,Schultz,NP,DERM,Dermatology,LIC753534,ACTIVE,2026-09-29,7982 Smith Street,New Savannahshire,TX,63799,529.622.1699x58669,2025-08-29
P00141,1000000141,Raymond,Cooper,PA,NEUR,Neurology,LIC432043,ACTIVE,2027-07-01,2269 Cameron Plaza Suite 833,New Jennifer,GA,90496,(822)688-5158x799,2025-12-12
P00142,1000000142,Natalie,Henderson,DO,CARD,Cardiology,LIC761820,ACTIVE,2026-03-12,106 Brian Centers,West Karen,WA,21595,542-804-3805x7198,2025-11-13
P00143,1000000143,John,Mueller,MD,PED,Pediatrics,LIC897305,ACTIVE,2027-03-21,066 Frye Spur Suite 800,Jamesmouth,TX,30064,+1-359-889-3347x2122,2025-02-16
P00144,1000000144,Billy,Ramirez,NP,PSY,Psychiatry,LIC130353,ACTIVE,2027-12-12,29405 Mckinney Drives Apt. 259,Port Sarahport,CA,64798,001-385-415-8328,2025-03-27
P00145,1000000145,Robert,Herrera,PA,ORTH,Orthopedics,LIC252640,ACTIVE,2027-01-19,3355 Carter Terrace,Barajastown,AZ,15537,+1-657-239-9305x61648,2025-07-03
P00146,1000000146,Rhonda,Short,MD,FAMP,Family Practice,LIC739098,INACTIVE,2026-06-29,877 Kenneth Run Apt. 581,East Teresaside,FL,70389,3134361386,2025-03-29
